"BehaviorSpace results (NetLogo 6.2.2)"
"hw1.nlogo"
"experiment-constraint-fixed-num"
"10/03/2022 01:54:19:291 +0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-50","50","-50","50"
"[run number]","max-angle","num","rw-type","world-size","[step]","mean displacements-before-border-reach","max msd-deviations-before-border-reach","time-to-cover","time-to-reach-border","percentage-of-visited","ticks"
"2","90","100","constraint","10","33","8.117281166169855","3.4042906574166123","33","12","100","33"
"3","90","100","constraint","11","57","13.298590785731715","3.723647986312084","57","13","100","57"
"4","90","100","constraint","11","66","8.197187464240764","3.636313598859128","66","13","100","66"
"5","90","100","constraint","12","78","9.410836015064621","4.429087457503665","78","18","100","78"
"1","90","100","constraint","10","47","6.851044752595737","3.112169289353609","47","11","100","47"
"6","90","100","constraint","12","50","8.258480581524418","3.7187981912894323","50","15","100","50"
"7","90","100","constraint","13","67","6.743519321803477","4.4027080701806325","67","18","100","67"
"8","90","100","constraint","13","68","7.4400857503898195","4.470063257641984","68","17","100","68"
"10","90","100","constraint","14","99","8.200815853926793","4.70156289268962","99","19","100","99"
"9","90","100","constraint","14","74","6.517856059368348","4.73538527235901","74","18","100","74"
"12","90","100","constraint","15","95","8.734563836500119","4.871712135132161","95","19","100","95"
"11","90","100","constraint","15","117","9.014279752207827","4.436813236574333","117","19","100","117"
"13","90","100","constraint","16","187","9.114402297078637","4.720611149075466","187","22","100","187"
"15","90","100","constraint","17","123","8.93778008727246","4.92526655848373","123","23","100","123"
"14","90","100","constraint","16","140","7.882418054348141","4.292067925924397","140","20","100","140"
"16","90","100","constraint","17","138","8.637492626700093","4.983481239071345","138","25","100","138"
"17","90","100","constraint","18","133","10.614343327838945","5.510927806178078","133","27","100","133"
"18","90","100","constraint","18","148","9.350057909978176","5.278102806724538","148","26","100","148"
"19","90","100","constraint","19","160","7.55840929859437","5.7998336536635895","160","30","100","160"
"21","90","100","constraint","20","186","9.04684949716031","5.830143644111811","186","28","100","186"
"20","90","100","constraint","19","170","9.38136476658863","5.108805086613592","170","22","100","170"
"22","90","100","constraint","20","191","10.259842802799142","6.0800863753106125","191","28","100","191"
"24","90","100","constraint","21","191","8.545507859457492","6.144085883972181","191","34","100","191"
"23","90","100","constraint","21","234","8.701875529777642","5.700610103449835","234","25","100","234"
"26","90","100","constraint","22","253","11.515618788155313","6.4497974269872325","253","31","100","253"
"25","90","100","constraint","22","242","7.499893143140685","5.91041001931208","242","42","100","242"
"27","90","100","constraint","23","323","7.505179507338617","6.596876031249105","323","43","100","323"
"30","90","100","constraint","24","264","7.226926950594504","6.652414030480563","264","32","100","264"
"29","90","100","constraint","24","297","7.088645020419922","6.28546576113707","297","40","100","297"
"28","90","100","constraint","23","296","9.217730966351935","5.938116752478271","296","34","100","296"
"31","90","100","constraint","25","275","8.66442802832783","5.911583090548359","275","47","100","275"
"32","90","100","constraint","25","366","8.370797106926082","7.402097331953323","366","45","100","366"
