"BehaviorSpace results (NetLogo 6.2.2)"
"hw1.nlogo"
"experiment-constraint-fixed-world-size"
"10/03/2022 01:50:34:267 +0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-60","60","-60","60"
"[run number]","max-angle","num","rw-type","world-size","[step]","mean displacements-before-border-reach","max msd-deviations-before-border-reach","time-to-cover","time-to-reach-border","percentage-of-visited","ticks"
"4","90","51","constraint","50","2472","5.456566456818164","10.214700745406583","2472","74","100","2472"
"2","90","50","constraint","50","2532","6.7086792402796895","13.905786664028561","2532","177","100","2532"
"3","90","51","constraint","50","2405","6.831261207694757","13.839445389865066","2405","137","100","2405"
"1","90","50","constraint","50","2631","5.826999426413478","13.874104907860602","2631","137","100","2631"
"7","90","53","constraint","50","2514","5.888339091160783","12.356287932006651","2514","112","100","2514"
"5","90","52","constraint","50","2880","6.40977297761315","13.433065310338193","2880","189","100","2880"
"6","90","52","constraint","50","2939","6.5321830265120875","13.758057483345317","2939","229","100","2939"
"8","90","53","constraint","50","3091","6.229654751350896","13.049094975190862","3091","137","100","3091"
"9","90","54","constraint","50","2263","6.072259926197302","13.372235368038481","2263","155","100","2263"
"11","90","55","constraint","50","2522","6.304576041705477","13.51600797005987","2522","137","100","2522"
"10","90","54","constraint","50","2530","6.08631686604635","13.084808911834427","2530","175","100","2530"
"12","90","55","constraint","50","2427","5.806574488081556","13.720667990006824","2427","193","100","2427"
"13","90","56","constraint","50","2839","6.5623154078891925","13.11246761027042","2839","143","100","2839"
"14","90","56","constraint","50","2218","6.91678619539354","16.686149063994158","2218","216","100","2218"
"15","90","57","constraint","50","2930","7.021840508765147","11.513739135068725","2930","94","100","2930"
"16","90","57","constraint","50","2320","7.1329988274219085","15.132992765674375","2320","186","100","2320"
"19","90","59","constraint","50","2009","7.16207995417475","12.031827361356866","2009","121","100","2009"
"18","90","58","constraint","50","3219","6.876031583590843","13.763690650687906","3219","126","100","3219"
"17","90","58","constraint","50","3258","6.8313799034887355","13.88914832414933","3258","161","100","3258"
"20","90","59","constraint","50","2970","5.962224254306496","13.498024664638692","2970","109","100","2970"
"22","90","60","constraint","50","2277","6.986142259172252","11.870268745898123","2277","93","100","2277"
"21","90","60","constraint","50","2230","6.430971214791147","11.37747462115985","2230","118","100","2230"
"23","90","61","constraint","50","2267","6.952920341125045","13.650439577565173","2267","159","100","2267"
"24","90","61","constraint","50","1986","7.348903619111198","16.067994392032134","1986","194","100","1986"
"26","90","62","constraint","50","2095","6.854529904071453","11.069722020032644","2095","96","100","2095"
"25","90","62","constraint","50","2275","6.732476086658305","16.812839759064804","2275","157","100","2275"
"27","90","63","constraint","50","2505","6.666517124024334","11.965509721898247","2505","112","100","2505"
"30","90","64","constraint","50","1800","7.020061062039002","14.026483929312047","1800","111","100","1800"
"28","90","63","constraint","50","2223","7.434785472775537","12.954898024970017","2223","145","100","2223"
"29","90","64","constraint","50","2578","6.964504765914948","15.854760843345879","2578","156","100","2578"
"31","90","65","constraint","50","2544","6.893991197217495","12.914281642940615","2544","126","100","2544"
"32","90","65","constraint","50","2145","7.171324055693013","12.513846217377587","2145","109","100","2145"
"33","90","66","constraint","50","1870","6.555819304935477","11.924233647794402","1870","151","100","1870"
"34","90","66","constraint","50","2035","6.439048434460986","15.13077209663379","2035","104","100","2035"
"35","90","67","constraint","50","1844","8.009034477703397","13.043254299634294","1844","119","100","1844"
"37","90","68","constraint","50","1816","6.946903398737311","10.699495970235569","1816","105","100","1816"
"38","90","68","constraint","50","1853","6.981591308762632","11.864004393288413","1853","102","100","1853"
"39","90","69","constraint","50","1888","7.476725143500033","12.91781669832473","1888","131","100","1888"
"36","90","67","constraint","50","2651","7.31936108311487","12.622024997253705","2651","131","100","2651"
"40","90","69","constraint","50","2227","7.263454977028808","13.600760793370558","2227","142","100","2227"
"42","90","70","constraint","50","1783","7.136806638955246","12.324592917195455","1783","106","100","1783"
"43","90","71","constraint","50","1916","7.300341451167957","13.169957392643331","1916","110","100","1916"
"41","90","70","constraint","50","2089","7.0275392489596165","13.458787561917035","2089","124","100","2089"
"46","90","72","constraint","50","1593","6.757035304449523","10.774126104220757","1593","153","100","1593"
"45","90","72","constraint","50","1937","6.845996351987311","11.595458918801794","1937","125","100","1937"
"44","90","71","constraint","50","1929","7.98336664733078","15.828520996647121","1929","154","100","1929"
"47","90","73","constraint","50","1901","7.467547438938848","14.38199002000921","1901","186","100","1901"
"48","90","73","constraint","50","1898","8.47088087177959","13.44033247727116","1898","122","100","1898"
"49","90","74","constraint","50","2033","7.0868910252712665","14.212673899133707","2033","149","100","2033"
"51","90","75","constraint","50","2205","7.834142073147976","13.336749633375048","2205","187","100","2205"
"50","90","74","constraint","50","2461","6.764469075950788","11.203346454663041","2461","103","100","2461"
"53","90","76","constraint","50","1597","7.4011991477681365","14.276438753856155","1597","130","100","1597"
"52","90","75","constraint","50","2065","7.91430729875591","12.384319889393511","2065","121","100","2065"
"55","90","77","constraint","50","1941","8.265774869560678","15.282924001999472","1941","152","100","1941"
"54","90","76","constraint","50","2406","8.785660019482895","14.219476854084949","2406","169","100","2406"
"56","90","77","constraint","50","1617","7.637769187422434","11.052373398168767","1617","79","100","1617"
"57","90","78","constraint","50","1778","7.451657946722266","12.173800403347183","1778","120","100","1778"
"59","90","79","constraint","50","2002","8.514346063625391","11.821946670950176","2002","126","100","2002"
"60","90","79","constraint","50","1933","7.522929521198141","13.128669285571524","1933","126","100","1933"
"61","90","80","constraint","50","1554","8.029298344135789","15.764845226763377","1554","192","100","1554"
"58","90","78","constraint","50","2216","8.555707749381805","11.473023399508278","2216","133","100","2216"
"63","90","81","constraint","50","1499","6.994338217745203","12.076077570915848","1499","104","100","1499"
"64","90","81","constraint","50","1801","7.261057871162184","11.836685751027105","1801","124","100","1801"
"62","90","80","constraint","50","2298","8.553827613311238","15.124221776472842","2298","186","100","2298"
