"BehaviorSpace results (NetLogo 6.2.2)"
"hw1.nlogo"
"experiment-deterministic-fixed-num"
"10/03/2022 22:56:33:974 +0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-60","60","-60","60"
"[run number]","step-size","r","rw-type","num","[step]","mean displacements-before-border-reach","max msd-deviations-before-border-reach","time-to-cover","time-to-reach-border","percentage-of-visited","ticks"
"4","1","1","deterministic","100","1328","13.34128342014147","8.837491277344196","1328","67","100","1328"
"1","1","0","deterministic","100","1454","13.061015391665554","52.31885425213138","1454","60","100","1454"
"2","1","0","deterministic","100","1768","3.14018425238794","52.31885425213138","1768","60","100","1768"
"3","1","1","deterministic","100","2076","9.686549555319989","24.657139910428533","2076","240","100","2076"
"7","1.01","0","deterministic","100","1944","10.21161131300255","51.898069163077416","1944","59","100","1944"
"8","1.01","0","deterministic","100","1685","10.603888048508633","51.89806916307744","1685","59","100","1685"
"9","1.01","1","deterministic","100","1623","9.934614766603003","7.059843066196571","1623","72","100","1623"
"10","1.01","1","deterministic","100","1884","4.181195582987537","9.02605545418636","1884","99","100","1884"
"5","1","3.82","deterministic","100","10326","8.367884296229514","11.953956409586237","10326","1591","100","10326"
"13","1.02","0","deterministic","100","2110","7.732292500542827","52.4119114320188","2110","59","100","2110"
"6","1","3.82","deterministic","100","12520","9.881265988317184","16.03450599949568","12520","1761","100","12520"
"14","1.02","0","deterministic","100","1851","9.593659596607216","52.41191143201881","1851","59","100","1851"
"15","1.02","1","deterministic","100","1777","2.948832875779376","33.76131821450407","1777","310","100","1777"
"11","1.01","3.82","deterministic","100","9371","8.797731648606014","15.32448321986486","9371","1623","100","9371"
"16","1.02","1","deterministic","100","1715","5.485663101776438","8.813863192437674","1715","72","100","1715"
"12","1.01","3.82","deterministic","100","10382","9.488661574356211","12.556496865955207","10382","1278","100","10382"
"19","1.03","0","deterministic","100","1819","8.545413862361958","51.96367053167112","1819","58","100","1819"
"20","1.03","0","deterministic","100","1608","19.757628017067518","51.96367053167109","1608","58","100","1608"
"21","1.03","1","deterministic","100","1470","12.73736963993762","9.208932857150637","1470","83","100","1470"
"22","1.03","1","deterministic","100","1425","6.943517237407718","5.392731332959604","1425","62","100","1425"
"18","1.02","3.82","deterministic","100","9305","9.403008237952625","11.160693972757862","9305","1288","100","9305"
"25","1.04","0","deterministic","100","1995","8.084800761685022","52.4681721873184","1995","58","100","1995"
"26","1.04","0","deterministic","100","1709","10.726328196418923","52.46817218731842","1709","58","100","1709"
"17","1.02","3.82","deterministic","100","13246","9.251718214766003","18.581890819193674","13246","2287","100","13246"
"27","1.04","1","deterministic","100","1631","10.18392531401186","7.616878065430859","1631","64","100","1631"
"28","1.04","1","deterministic","100","1802","6.054111722910831","36.57226034813509","1802","328","100","1802"
"23","1.03","3.82","deterministic","100","10832","9.310997149062436","19.89393518972346","10832","2327","100","10832"
"24","1.03","3.82","deterministic","100","11705","9.114755030111914","18.754168418540146","11705","1936","100","11705"
"31","1.05","0","deterministic","100","1923","15.420646148187444","51.992519487774715","1923","57","100","1923"
"32","1.05","0","deterministic","100","1681","9.888197970374437","51.9925194877747","1681","57","100","1681"
"33","1.05","1","deterministic","100","1649","22.57445916072541","10.22041818368589","1649","110","100","1649"
"34","1.05","1","deterministic","100","1622","6.359763991273712","7.313782182615384","1622","61","100","1622"
"30","1.04","3.82","deterministic","100","9068","9.324986836454487","14.237331483099261","9068","1523","100","9068"
"37","1.06","0","deterministic","100","1442","11.23379475133062","52.487686340039275","1442","57","100","1442"
"29","1.04","3.82","deterministic","100","12325","8.947682289590821","15.228719268216011","12325","1715","100","12325"
"35","1.05","3.82","deterministic","100","8143","9.316361310435166","12.21243323485984","8143","1286","100","8143"
"38","1.06","0","deterministic","100","2286","9.856345565180945","52.487686340039254","2286","57","100","2286"
"39","1.06","1","deterministic","100","1332","6.940164491186897","7.560863995341446","1332","67","100","1332"
"40","1.06","1","deterministic","100","1369","5.922294510307728","9.175517613094735","1369","61","100","1369"
"43","1.07","0","deterministic","100","1680","17.777351209160855","51.98466761880762","1680","56","100","1680"
"36","1.05","3.82","deterministic","100","11461","9.519769343960514","15.068914565593065","11461","1633","100","11461"
"44","1.07","0","deterministic","100","1841","4.7617443789864","51.984667618807634","1841","56","100","1841"
"46","1.07","1","deterministic","100","1290","8.436994269850068","13.029639392582238","1290","69","100","1290"
"45","1.07","1","deterministic","100","1683","9.513850287000416","10.321879297501681","1683","106","100","1683"
"42","1.06","3.82","deterministic","100","9840","9.21921297239779","14.963977322808582","9840","1778","100","9840"
"49","1.08","0","deterministic","100","1447","6.85959325623232","52.470505633936696","1447","56","100","1447"
"41","1.06","3.82","deterministic","100","10655","9.809037288228708","14.78048873992218","10655","1509","100","10655"
"50","1.08","0","deterministic","100","1830","7.1992509690567426","52.470505633936696","1830","56","100","1830"
"51","1.08","1","deterministic","100","1679","11.270532379112849","31.096358638399423","1679","277","100","1679"
"52","1.08","1","deterministic","100","1809","11.356449078122239","8.556413610544535","1809","65","100","1809"
"47","1.07","3.82","deterministic","100","10749","9.597643371946907","15.841329219479462","10749","1458","100","10749"
"48","1.07","3.82","deterministic","100","10869","9.898426965058894","12.743875580636548","10869","1196","100","10869"
"55","1.09","0","deterministic","100","1483","3.8168324194963374","51.94016854109901","1483","55","100","1483"
"56","1.09","0","deterministic","100","1603","11.036457914611619","51.94016854109903","1603","55","100","1603"
"58","1.09","1","deterministic","100","1407","15.325064457850804","7.879622815858417","1407","67","100","1407"
"57","1.09","1","deterministic","100","1710","11.23157365951601","8.21014933107913","1710","62","100","1710"
"53","1.08","3.82","deterministic","100","8369","9.811723134865405","16.728756314239867","8369","1872","100","8369"
"54","1.08","3.82","deterministic","100","7833","9.87128908178514","11.510814505533347","7833","1191","100","7833"
"61","1.1","0","deterministic","100","1590","11.683355026160337","51.3918791217914","1590","54","100","1590"
"62","1.1","0","deterministic","100","1719","12.335073801332166","51.39187912179141","1719","54","100","1719"
"63","1.1","1","deterministic","100","1798","7.08449702073694","10.423556545475954","1798","80","100","1798"
"64","1.1","1","deterministic","100","1554","8.14455837051399","27.347453220458174","1554","244","100","1554"
"60","1.09","3.82","deterministic","100","8394","9.847743435481672","17.664956061599195","8394","1627","100","8394"
"67","1.11","0","deterministic","100","1729","9.495625526899154","51.859078022898636","1729","54","100","1729"
"59","1.09","3.82","deterministic","100","10691","10.865355506093897","14.810612882041898","10691","1311","100","10691"
"68","1.11","0","deterministic","100","1676","5.64792910612877","51.859078022898636","1676","54","100","1676"
"69","1.11","1","deterministic","100","1872","5.566182013589233","8.163282605081063","1872","64","100","1872"
"70","1.11","1","deterministic","100","1887","7.31786903765088","7.522912684766666","1887","67","100","1887"
"66","1.1","3.82","deterministic","100","9653","9.831284227951802","15.064331680644415","9653","1752","100","9653"
"65","1.1","3.82","deterministic","100","9650","10.005867601063363","16.081529937607616","9650","1429","100","9650"
"73","1.12","0","deterministic","100","1701","8.142746776624262","52.32627692400582","1701","54","100","1701"
"74","1.12","0","deterministic","100","1679","12.000394373000328","52.32627692400582","1679","54","100","1679"
"75","1.12","1","deterministic","100","1547","9.05634607154737","8.895477685954562","1547","56","100","1547"
"76","1.12","1","deterministic","100","1368","10.513918318351864","24.573399960182318","1368","215","100","1368"
"71","1.11","3.82","deterministic","100","9016","10.146980132783435","14.519357040391018","9016","1448","100","9016"
"72","1.11","3.82","deterministic","100","8793","10.186738855152795","16.58884935211702","8793","1265","100","8793"
"79","1.13","0","deterministic","100","1840","10.22748447087072","51.74145411745138","1840","53","100","1840"
"80","1.13","0","deterministic","100","1546","6.563859253514596","51.74145411745137","1546","53","100","1546"
"81","1.13","1","deterministic","100","1695","24.524344452924726","8.140977439669651","1695","56","100","1695"
"82","1.13","1","deterministic","100","1984","8.151882911707027","8.21158304139247","1984","74","100","1984"
"77","1.12","3.82","deterministic","100","8682","10.074052936744854","17.65701223786398","8682","1598","100","8682"
"78","1.12","3.82","deterministic","100","9253","9.508216054476213","20.031937480115065","9253","1983","100","9253"
"85","1.14","0","deterministic","100","2148","9.788328986010098","52.19934309194211","2148","53","100","2148"
"87","1.14","1","deterministic","100","1463","13.67867846594797","7.610501986486147","1463","59","100","1463"
"86","1.14","0","deterministic","100","2438","18.169895038482228","52.1993430919421","2438","53","100","2438"
"88","1.14","1","deterministic","100","1699","19.459095438019226","8.994134077753639","1699","63","100","1699"
"83","1.13","3.82","deterministic","100","8851","10.606435759397472","13.857278973067992","8851","1420","100","8851"
"91","1.15","0","deterministic","100","1412","9.55408534941016","51.58735730717575","1412","52","100","1412"
"92","1.15","0","deterministic","100","1452","3.021125298077076","51.58735730717573","1452","52","100","1452"
"84","1.13","3.82","deterministic","100","10483","9.938457000784252","12.585143991396752","10483","1156","100","10483"
"93","1.15","1","deterministic","100","1748","10.492079537479416","5.763992113105946","1748","56","100","1748"
"89","1.14","3.82","deterministic","100","8060","10.102286433749835","13.142561768507093","8060","1124","100","8060"
"94","1.15","1","deterministic","100","1937","3.7358759066182103","28.95261426544231","1937","248","100","1937"
"90","1.14","3.82","deterministic","100","9216","9.848620075447487","12.447863250144149","9216","1125","100","9216"
"97","1.16","0","deterministic","100","1787","8.751599644628392","52.03594302289027","1787","52","100","1787"
"98","1.16","0","deterministic","100","1717","14.608987513362374","52.03594302289028","1717","52","100","1717"
"99","1.16","1","deterministic","100","1645","16.485772099251914","7.772631982371633","1645","70","100","1645"
"100","1.16","1","deterministic","100","1466","6.720886360033272","8.693199576719715","1466","59","100","1466"
"96","1.15","3.82","deterministic","100","7690","9.714380528375122","15.285500972273688","7690","1197","100","7690"
"95","1.15","3.82","deterministic","100","8918","10.427802452820243","19.14262598714196","8918","1877","100","8918"
"103","1.17","0","deterministic","100","1914","7.080188364470581","51.396850660117394","1914","51","100","1914"
"104","1.17","0","deterministic","100","1497","9.729404900725678","51.3968506601174","1497","51","100","1497"
"105","1.17","1","deterministic","100","1459","9.467615816702608","10.792426238145179","1459","93","100","1459"
"106","1.17","1","deterministic","100","1503","9.291576696523926","25.366925528849045","1503","216","100","1503"
"101","1.16","3.82","deterministic","100","8856","10.59218402410089","15.947164949544948","8856","1425","100","8856"
"102","1.16","3.82","deterministic","100","8934","10.492386522988587","13.237042151403344","8934","1265","100","8934"
"109","1.18","0","deterministic","100","1832","8.901429255111049","51.83613998199872","1832","51","100","1832"
"110","1.18","0","deterministic","100","1534","6.747589349514751","51.83613998199871","1534","51","100","1534"
"111","1.18","1","deterministic","100","1407","5.117470384806902","27.26417770164584","1407","228","100","1407"
"112","1.18","1","deterministic","100","1538","18.967037804990436","27.116357413341717","1538","227","100","1538"
"108","1.17","3.82","deterministic","100","8035","10.144473085052425","13.539366244934492","8035","1141","100","8035"
"107","1.17","3.82","deterministic","100","8337","10.123812099385958","21.363536863603382","8337","1933","100","8337"
"115","1.19","0","deterministic","100","1628","14.20338854149867","51.17","1628","50","100","1628"
"116","1.19","0","deterministic","100","1937","19.36283372639937","51.16999999999998","1937","50","100","1937"
"117","1.19","1","deterministic","100","1455","12.699841832048003","6.69103018466614","1455","58","100","1455"
"118","1.19","1","deterministic","100","1675","4.849052618117243","8.577771935356148","1675","83","100","1675"
"113","1.18","3.82","deterministic","100","7757","10.364796296604831","19.443507864281344","7757","1782","100","7757"
"114","1.18","3.82","deterministic","100","9327","9.800804460280053","16.670508552543208","9327","1146","100","9327"
"121","1.2","0","deterministic","100","1884","8.489831087193878","51.59999999999998","1884","50","100","1884"
"122","1.2","0","deterministic","100","1582","14.393412162241297","51.59999999999999","1582","50","100","1582"
"123","1.2","1","deterministic","100","1566","6.277814968980498","5.873030418472165","1566","53","100","1566"
"124","1.2","1","deterministic","100","1555","9.732338551003464","10.741710513530382","1555","57","100","1555"
"119","1.19","3.82","deterministic","100","7796","10.637620972678755","12.903845329234667","7796","1112","100","7796"
"127","1.21","0","deterministic","100","1431","14.582215457070303","52.02999999999999","1431","50","100","1431"
"128","1.21","0","deterministic","100","1687","11.429969039240547","50.906874091366646","1687","49","100","1687"
"120","1.19","3.82","deterministic","100","9499","10.918394191713851","13.97345730749263","9499","1165","100","9499"
"129","1.21","1","deterministic","100","1442","11.393314951339912","8.745648611471752","1442","52","100","1442"
"130","1.21","1","deterministic","100","1515","5.250619794050528","8.225642426017641","1515","53","100","1515"
"126","1.2","3.82","deterministic","100","6933","10.58630748354199","13.144719328239738","6933","1146","100","6933"
"125","1.2","3.82","deterministic","100","8328","11.378176582914772","15.37705221431943","8328","1311","100","8328"
"133","1.22","0","deterministic","100","1575","9.643779557200562","51.32759205906385","1575","49","100","1575"
"134","1.22","0","deterministic","100","1614","21.92020619323372","51.32759205906386","1614","49","100","1614"
