"BehaviorSpace results (NetLogo 6.2.2)"
"hw1.nlogo"
"experiment-deterministic-fixed-step-size"
"10/03/2022 14:39:12:344 +0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-60","60","-60","60"
"[run number]","step-size","r","rw-type","num","[step]","mean displacements-before-border-reach","max msd-deviations-before-border-reach","time-to-cover","time-to-reach-border","percentage-of-visited","ticks"
"2","1","0","deterministic","50","3157","3.043838567033176","52.31885425213139","3157","60","100","3157"
"4","1","0","deterministic","51","2756","4.702871147691853","52.31885425213138","2756","60","100","2756"
"3","1","0","deterministic","51","3085","7.7214615411736816","52.31885425213138","3085","60","100","3085"
"1","1","0","deterministic","50","3969","9.278060440115386","52.31885425213141","3969","60","100","3969"
"5","1","0","deterministic","52","2799","9.944364028451096","52.31885425213138","2799","60","100","2799"
"6","1","0","deterministic","52","2934","0.9354947320638227","52.318854252131366","2934","60","100","2934"
"8","1","0","deterministic","53","2687","9.22245708734448","52.31885425213138","2687","60","100","2687"
"7","1","0","deterministic","53","3466","1.1119958859688266","52.318854252131395","3466","60","100","3466"
"9","1","0","deterministic","54","3594","4.477704162556082","52.318854252131366","3594","60","100","3594"
"10","1","0","deterministic","54","2992","1.4960239367789172","52.31885425213139","2992","60","100","2992"
"12","1","0","deterministic","55","3071","6.938085623183514","52.31885425213139","3071","60","100","3071"
"11","1","0","deterministic","55","3431","7.973567057712786","52.31885425213139","3431","60","100","3431"
"13","1","0","deterministic","56","2999","6.348910773640436","52.31885425213139","2999","60","100","2999"
"14","1","0","deterministic","56","3336","5.7192220446291575","52.31885425213138","3336","60","100","3336"
"15","1","0","deterministic","57","3621","3.293936442728002","52.31885425213139","3621","60","100","3621"
"16","1","0","deterministic","57","3288","4.96063179794836","52.31885425213137","3288","60","100","3288"
"17","1","0","deterministic","58","3772","5.704637131587753","52.31885425213139","3772","60","100","3772"
"18","1","0","deterministic","58","2735","17.929462740878755","52.31885425213138","2735","60","100","2735"
"19","1","0","deterministic","59","2498","7.0977056627526744","52.31885425213139","2498","60","100","2498"
"21","1","0","deterministic","60","3056","9.234228801368554","52.31885425213138","3056","60","100","3056"
"20","1","0","deterministic","59","3555","16.988638751159872","52.31885425213138","3555","60","100","3555"
"22","1","0","deterministic","60","2944","0.5362948349661271","52.31885425213138","2944","60","100","2944"
"23","1","0","deterministic","61","3247","15.984385232208828","52.31885425213139","3247","60","100","3247"
"24","1","0","deterministic","61","2633","8.931615713590942","52.31885425213139","2633","60","100","2633"
"25","1","0","deterministic","62","2363","2.2161472215350337","52.31885425213139","2363","60","100","2363"
"26","1","0","deterministic","62","3207","6.4218051754861945","52.31885425213138","3207","60","100","3207"
"28","1","0","deterministic","63","2777","3.5149678847362846","52.31885425213138","2777","60","100","2777"
"27","1","0","deterministic","63","2660","2.4067856746557834","52.3188542521314","2660","60","100","2660"
"29","1","0","deterministic","64","2709","8.883427245516755","52.31885425213138","2709","60","100","2709"
"30","1","0","deterministic","64","2483","3.2104244594365645","52.31885425213137","2483","60","100","2483"
"32","1","0","deterministic","65","2218","5.612976242231745","52.31885425213137","2218","60","100","2218"
"31","1","0","deterministic","65","2786","11.998296293802808","52.318854252131395","2786","60","100","2786"
"33","1","0","deterministic","66","2672","9.02241934524068","52.31885425213139","2672","60","100","2672"
"34","1","0","deterministic","66","2959","4.37412283554219","52.31885425213139","2959","60","100","2959"
"36","1","0","deterministic","67","2298","2.9545539714379014","52.31885425213137","2298","60","100","2298"
"35","1","0","deterministic","67","2653","10.876289898794775","52.31885425213138","2653","60","100","2653"
"37","1","0","deterministic","68","2261","4.215056244595899","52.31885425213139","2261","60","100","2261"
"38","1","0","deterministic","68","2500","7.272381715604388","52.31885425213138","2500","60","100","2500"
"39","1","0","deterministic","69","2843","13.954977313950488","52.31885425213139","2843","60","100","2843"
"40","1","0","deterministic","69","2472","9.168513968850949","52.31885425213138","2472","60","100","2472"
"41","1","0","deterministic","70","3080","9.302002204231586","52.31885425213139","3080","60","100","3080"
"42","1","0","deterministic","70","2294","15.443950326873278","52.31885425213139","2294","60","100","2294"
"44","1","0","deterministic","71","2243","4.5408594339794055","52.31885425213139","2243","60","100","2243"
"43","1","0","deterministic","71","3360","4.761471660009482","52.31885425213139","3360","60","100","3360"
"46","1","0","deterministic","72","2134","2.9710309186648964","52.31885425213139","2134","60","100","2134"
"45","1","0","deterministic","72","1951","5.869999523289667","52.31885425213138","1951","60","100","1951"
"47","1","0","deterministic","73","2431","7.518665979699609","52.31885425213139","2431","60","100","2431"
"48","1","0","deterministic","73","2218","3.24284335217046","52.31885425213139","2218","60","100","2218"
"49","1","0","deterministic","74","2124","8.202230265182553","52.318854252131395","2124","60","100","2124"
"50","1","0","deterministic","74","2224","3.744959168568899","52.31885425213137","2224","60","100","2224"
"51","1","0","deterministic","75","2346","3.127470611162387","52.318854252131366","2346","60","100","2346"
"52","1","0","deterministic","75","2452","6.581071990713576","52.31885425213139","2452","60","100","2452"
"53","1","0","deterministic","76","2456","8.366174004475763","52.31885425213137","2456","60","100","2456"
"54","1","0","deterministic","76","2382","8.561567532547544","52.31885425213137","2382","60","100","2382"
"55","1","0","deterministic","77","2465","7.4708479307307725","52.318854252131395","2465","60","100","2465"
"57","1","0","deterministic","78","1905","2.273083056406446","52.31885425213138","1905","60","100","1905"
"56","1","0","deterministic","77","2502","11.564785068515022","52.31885425213138","2502","60","100","2502"
"58","1","0","deterministic","78","2396","7.503286741357404","52.31885425213138","2396","60","100","2396"
"59","1","0","deterministic","79","2074","17.049383094381675","52.31885425213137","2074","60","100","2074"
"60","1","0","deterministic","79","2135","10.055310793581684","52.31885425213138","2135","60","100","2135"
"61","1","0","deterministic","80","2206","1.4582006256529811","52.31885425213139","2206","60","100","2206"
"64","1","0","deterministic","81","1600","18.678218889789836","52.31885425213138","1600","60","100","1600"
"63","1","0","deterministic","81","2209","3.8479952806667437","52.318854252131395","2209","60","100","2209"
"62","1","0","deterministic","80","2651","7.423017883814683","52.31885425213139","2651","60","100","2651"
"65","1","0","deterministic","82","2416","7.666788468505359","52.31885425213139","2416","60","100","2416"
"66","1","0","deterministic","82","2492","9.531522352143563","52.31885425213139","2492","60","100","2492"
"67","1","0","deterministic","83","2551","6.156023615983327","52.318854252131416","2551","60","100","2551"
"69","1","0","deterministic","84","2005","8.408604574649981","52.31885425213138","2005","60","100","2005"
"68","1","0","deterministic","83","1972","7.859896077030099","52.31885425213139","1972","60","100","1972"
"70","1","0","deterministic","84","2311","6.152242250335933","52.31885425213138","2311","60","100","2311"
"72","1","0","deterministic","85","1907","10.139562315790775","52.31885425213137","1907","60","100","1907"
"71","1","0","deterministic","85","2472","8.632466522565226","52.31885425213137","2472","60","100","2472"
"73","1","0","deterministic","86","2439","7.226827811224042","52.3188542521314","2439","60","100","2439"
"74","1","0","deterministic","86","1995","7.922558546105971","52.318854252131395","1995","60","100","1995"
"75","1","0","deterministic","87","2185","23.56422480676565","52.31885425213138","2185","60","100","2185"
"76","1","0","deterministic","87","1765","2.8243657240542794","52.31885425213138","1765","60","100","1765"
"77","1","0","deterministic","88","2157","3.633861073110832","52.31885425213138","2157","60","100","2157"
"78","1","0","deterministic","88","1792","10.999731188850179","52.31885425213138","1792","60","100","1792"
"80","1","0","deterministic","89","1714","24.92185510828289","52.3188542521314","1714","60","100","1714"
"79","1","0","deterministic","89","2242","4.175787060908144","52.318854252131395","2242","60","100","2242"
"81","1","0","deterministic","90","1657","9.074807694312538","52.31885425213138","1657","60","100","1657"
"82","1","0","deterministic","90","1805","6.415719818744383","52.31885425213138","1805","60","100","1805"
"83","1","0","deterministic","91","1998","8.139048456993159","52.31885425213139","1998","60","100","1998"
"84","1","0","deterministic","91","1763","3.967932259171849","52.3188542521314","1763","60","100","1763"
"85","1","0","deterministic","92","1792","11.277484325863266","52.318854252131395","1792","60","100","1792"
"86","1","0","deterministic","92","1902","9.290317618121412","52.318854252131395","1902","60","100","1902"
"87","1","0","deterministic","93","1942","14.950475395767608","52.31885425213138","1942","60","100","1942"
"88","1","0","deterministic","93","1928","4.5867003477087","52.31885425213138","1928","60","100","1928"
"89","1","0","deterministic","94","1720","13.253951630060943","52.31885425213138","1720","60","100","1720"
"90","1","0","deterministic","94","2296","10.2894993478792","52.31885425213138","2296","60","100","2296"
"92","1","0","deterministic","95","1786","1.4666299020511544","52.31885425213139","1786","60","100","1786"
"91","1","0","deterministic","95","2161","11.788133858778572","52.31885425213138","2161","60","100","2161"
"93","1","0","deterministic","96","1996","10.61861124838872","52.31885425213138","1996","60","100","1996"
"94","1","0","deterministic","96","1847","11.119407427980269","52.31885425213139","1847","60","100","1847"
"95","1","0","deterministic","97","1457","10.14165727722119","52.31885425213139","1457","60","100","1457"
"96","1","0","deterministic","97","1701","5.492144525440998","52.318854252131395","1701","60","100","1701"
"97","1","0","deterministic","98","1564","0.6186638784289115","52.31885425213139","1564","60","100","1564"
"99","1","0","deterministic","99","1617","2.9752724347082276","52.31885425213138","1617","60","100","1617"
"98","1","0","deterministic","98","1902","11.454943478239716","52.31885425213138","1902","60","100","1902"
"100","1","0","deterministic","99","2057","5.748233829363796","52.318854252131395","2057","60","100","2057"
"102","1","0","deterministic","100","1462","14.784937032614181","52.31885425213138","1462","60","100","1462"
"101","1","0","deterministic","100","1745","3.8994893513017965","52.31885425213137","1745","60","100","1745"
"103","1","1","deterministic","50","2535","10.988725440456498","10.396615921172275","2535","71","100","2535"
"104","1","1","deterministic","50","3453","5.657101163495631","27.719221536911505","3453","256","100","3453"
"105","1","1","deterministic","51","2712","6.812533757197899","7.151116646529843","2712","66","100","2712"
"107","1","1","deterministic","52","2929","4.405345247953169","11.062316296557523","2929","82","100","2929"
"106","1","1","deterministic","51","3688","3.88954079538824","30.095358104060402","3688","282","100","3688"
"109","1","1","deterministic","53","2867","5.423567924229926","31.463392031089487","2867","295","100","2867"
"110","1","1","deterministic","53","2854","11.321883775159684","8.84187122244475","2854","68","100","2854"
"108","1","1","deterministic","52","4454","8.276916851327844","29.977369088802725","4454","287","100","4454"
"111","1","1","deterministic","54","2806","2.332531179723576","11.06511117074714","2806","72","100","2806"
