"BehaviorSpace results (NetLogo 6.2.2)"
"hw1.nlogo"
"experiment-lazy-fixed-num"
"10/03/2022 01:38:45:359 +0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-40","40","-40","40"
"[run number]","lambda","num","rw-type","world-size","[step]","mean displacements-before-border-reach","max msd-deviations-before-border-reach","time-to-cover","time-to-reach-border","percentage-of-visited","ticks"
"2","0.5","100","lazy","10","10000","8.461233359863177","1","0","33","99.77324263038548","10000"
"3","0.5","100","lazy","11","10000","7.271003402311227","1","0","28","90.54820415879017","10000"
"4","0.5","100","lazy","11","10000","7.1397618712470186","1","0","44","95.27410207939508","10000"
"1","0.5","100","lazy","10","10000","8.755746203648116","1","0","29","98.1859410430839","10000"
"5","0.5","100","lazy","12","10000","6.960736280596939","1","0","41","90.56","10000"
"7","0.5","100","lazy","13","10000","8.757269725308824","1","0","45","79.83539094650206","10000"
"6","0.5","100","lazy","12","10000","7.703611416923064","1","0","48","88.48","10000"
"8","0.5","100","lazy","13","10000","7.606152088084158","1","0","40","76.26886145404664","10000"
"9","0.5","100","lazy","14","10000","6.396398066654019","2.4565038439960567","0","98","72.88941736028538","10000"
"10","0.5","100","lazy","14","10000","4.949205046109611","3.7291155660194812","0","170","65.75505350772889","10000"
"11","0.5","100","lazy","15","10000","5.74771243087886","3.638121321102626","0","149","57.85639958376691","10000"
"12","0.5","100","lazy","15","10000","6.012553019430582","2.616797017185881","0","104","63.78772112382934","10000"
"13","0.5","100","lazy","16","10000","6.835705651180241","2.5000562232631873","0","95","60.78971533516988","10000"
"14","0.5","100","lazy","16","10000","5.573266812244549","3.6445079372349554","0","151","55.00459136822773","10000"
"15","0.5","100","lazy","17","10000","6.108827986359284","3.0825999064875163","0","115","54.44897959183673","10000"
"16","0.5","100","lazy","17","10000","6.511528773009449","3.499383788122314","0","121","55.59183673469388","10000"
"17","0.5","100","lazy","18","10000","6.237651130213393","2.9525134880664634","0","107","52.008765522279035","10000"
"18","0.5","100","lazy","18","10000","0.12921761858152314","7.922055134118448","0","0","40.68663257852447","10000"
"19","0.5","100","lazy","19","10000","4.819165266262244","5.097271379002141","0","215","41.61735700197239","10000"
"20","0.5","100","lazy","19","10000","0.13452066838817378","8.613724702237333","0","0","40.69690992767916","10000"
"21","0.5","100","lazy","20","10000","0.12832891480705622","8.931912750646637","0","0","37.775133848899465","10000"
"22","0.5","100","lazy","20","10000","4.879030377365653","4.235868544528867","0","191","33.19452706722189","10000"
