"BehaviorSpace results (NetLogo 6.2.2)"
"hw1.nlogo"
"experiment-lazy-fixed-word-size"
"10/03/2022 01:32:09:361 +0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-60","60","-60","60"
"[run number]","lambda","num","rw-type","world-size","[step]","mean displacements-before-border-reach","max msd-deviations-before-border-reach","time-to-cover","time-to-reach-border","percentage-of-visited","ticks"
"4","0.5","51","lazy","40","10000","0.09273751202323946","9.147600417131692","0","0","8.718183203779912","10000"
"2","0.5","50","lazy","40","10000","0.0875523892784868","9.33722888615307","0","0","8.001828989483311","10000"
"3","0.5","51","lazy","40","10000","0.09701832784955142","8.95894110121537","0","0","7.925621094345374","10000"
"1","0.5","50","lazy","40","10000","0.09202785815769929","9.029702207530173","0","0","7.331199512269471","10000"
"5","0.5","52","lazy","40","10000","0.09500098432665242","8.130809070974069","0","0","7.407407407407407","10000"
"6","0.5","52","lazy","40","10000","0.09416380644971717","8.653291617186362","0","0","7.437890565462582","10000"
"7","0.5","53","lazy","40","10000","0.09229528179257808","8.738314533764123","0","0","8.215211095869533","10000"
"8","0.5","53","lazy","40","10000","0.09057552878155835","8.388751443998588","0","0","7.651272671848804","10000"
"9","0.5","54","lazy","40","10000","0.0931201887218892","8.962259486721706","0","0","7.757963725041915","10000"
"10","0.5","54","lazy","40","10000","0.09573480731485857","8.186267407936343","0","0","7.590306355738455","10000"
"11","0.5","55","lazy","40","10000","0.09501033705574509","7.836922953229795","0","0","6.7977442463039175","10000"
"12","0.5","55","lazy","40","10000","0.10200197849206341","8.750158523080948","0","0","7.194025301021186","10000"
"13","0.5","56","lazy","40","10000","0.09302115863332457","8.565806698937232","0","0","8.12376162170401","10000"
"14","0.5","56","lazy","40","10000","0.10104154595294397","7.892863626650491","0","0","7.575064776710867","10000"
"15","0.5","57","lazy","40","10000","0.0944920923471029","9.169247747016342","0","0","8.657216887669563","10000"
"16","0.5","57","lazy","40","10000","0.09595110253534156","8.750210380452774","0","0","7.895137936290199","10000"
"17","0.5","58","lazy","40","10000","0.0995199727873577","8.192257562679387","0","0","7.712238987959153","10000"
"18","0.5","58","lazy","40","10000","0.09596108624058089","8.822274368515668","0","0","8.001828989483311","10000"
"19","0.5","59","lazy","40","10000","0.09607330700465831","8.659591926343353","0","0","8.154244779759184","10000"
"20","0.5","59","lazy","40","10000","0.0955246736009115","9.279619386711198","0","0","8.260935832952294","10000"
"21","0.5","60","lazy","40","10000","0.1015702376468789","8.07138490427098","0","0","7.757963725041915","10000"
"22","0.5","60","lazy","40","10000","0.10067055741203378","9.245361370450162","0","0","8.870598994055785","10000"
"23","0.5","61","lazy","40","10000","0.10496022079186496","9.540831465316625","0","0","9.236396890717879","10000"
"24","0.5","61","lazy","40","10000","0.09920699444721495","8.93851349594657","0","0","8.56576741350404","10000"
"25","0.5","62","lazy","40","10000","0.10497966427801073","9.293490454332948","0","0","8.733424782807498","10000"
"26","0.5","62","lazy","40","10000","0.09378354307349901","7.64813373307152","0","0","7.773205304069502","10000"
"27","0.5","63","lazy","40","10000","0.10188847783726006","8.614852732940236","0","0","8.139003200731596","10000"
"28","0.5","63","lazy","40","10000","0.09888410547259174","7.507245475520669","0","0","7.209266880048773","10000"
"29","0.5","64","lazy","40","10000","0.1016673644024022","7.814469802048519","0","0","7.011126352690138","10000"
"30","0.5","64","lazy","40","10000","0.10105528579761963","8.34208211766116","0","0","8.382868465172992","10000"
"31","0.5","65","lazy","40","10000","0.10455128828399733","8.130394364216224","0","0","7.940862673372961","10000"
"32","0.5","65","lazy","40","10000","0.10263713521724258","9.733876480107881","0","0","9.221155311690291","10000"
"33","0.5","66","lazy","40","10000","0.10479015265033424","8.85286693672972","0","0","8.581008992531626","10000"
"34","0.5","66","lazy","40","10000","0.10421623945239737","7.781204259297527","0","0","8.748666361835086","10000"
